codigo;razao;fantasia;cidade;vendedor;estatus;semana;rota
7;ADILSON DUARTE DE LIMA;CUIA LANCHES;CAMBUI;33;ATIVO;SEG;101
10;ANTONIO TIBURCIO MATIAS;MINI BOX TIBURCIO;CAMBUI;33;ATIVO;TER;102
33;JOAO CARLOS DA SILVA;ACOUGUE MARCONDES;CAMBUI;33;ATIVO;QUI;103
43;CLUBE LITERARIO E RECREATIVO DE CAMBUI;CLUBE LITE RECREATIVO CAMBUI;CAMBUI;33;ATIVO;QUI;103
51;JOSE ARCANJO DE MORAIS NETO;MERC E ACOUGUE NSRA APARECIDA;CORREGO DO BOM JESUS;35;ATIVO;QUI;351
52;THIALES WILSON FERREIRA;TW - LANCHES;CAMBUI;33;ATIVO;QUA;104
55;CARLA APBUENO DE SALES MACHAD;DELICIAS DO MILHO;CAMBUI;33;ATIVO;QUI;103
73;HOTEL E RESTAURANTE GARFO DE OURO LTDA;HOTEL GARFO DE OURO;CAMBUI;33;ATIVO;QUA;104
74;JOSÉ CARLOS DE PAULA;JOSÉ CARLOS VENDEDOR;CAMBUI;10;ATIVO;SEG;2
101;BAR DO FIO LTDA;BAR DO FIO;CAMBUI;33;ATIVO;QUA;104
103;COMERCIAL ADEMIR LTDA;COMERCIAL ADEMIR;CAMBUI;33;ATIVO;TER;107
112;PAULO SERGIO VIANA;PAULO BAIANO FUNCIONARIO;CAMBUI;10;ATIVO;SEG;2
116;BAR NOSSA SENHORA DAS GRACAS LTDA;BAR TAVAREZ;BOM REPOUSO;13;ATIVO;SEG;150
146;MINI BOX ALA LTDA;MINI BOX ALA;CAMBUI;33;ATIVO;TER;102
147;MONTANHA MERCANTIL LTDA  ME;MONTANHA MERCANTIL L;SENADOR AMARAL;13;ATIVO;QUI;751
160;BAR DO MANE BRAGA DE CAMBUI LTDA;BAR DO MANE BRAGA DE CAMBUI;CAMBUI;33;ATIVO;QUA;104
175;SUPERMERCADO G M A PEREIRA LTDA;SUPERMERCADO G M A PEREIRA;CAMBUI;33;ATIVO;TER;107
219;SEBASTIAO CLAUDIO OLIVEIRA;SEBASTIAO CLAUDIO OLIVEIRA;BOM REPOUSO;13;ATIVO;SEG;150
229;DEGRAU S BAR E LANCHONETE LTDA;DEGRAU S BAR E LANCHONETE;CAMBUI;33;ATIVO;QUA;104
239;JOSE EDUARDO DA ROSA;MOTEL DREANS;CAMBUI;42;ATIVO;SEG;406
246;MARCO ANTONIO SIMAO;MARQUINHOS FUNCIONARIO;CAMBUI;10;ATIVO;SEG;2
261;ANA MARIA OLIVEIRA FREITAS;ANA MARIA OLIVEIRA F;BOM REPOUSO;35;ATIVO;QUA;801
308;BENEDITO TADEU DA ROSA;BEIJA FLOR;CAMBUI;33;ATIVO;SEG;101
328;CHOPPERIA PIZZARIA CAMBUI LTDA;CHOPERIA E PIZZARIA CAMBUI;CAMBUI;33;ATIVO;QUI;103
330;PAROQUIA SAO SEBASTIAO;PAROQUIA SAO SEBASTIAO;ITAPEVA;42;ATIVO;TER;501
333;DIRCELENA PEREIRA DOS SANTOS;DIRCELENA PEREIRA DOS SANTOS;CAMBUI;33;ATIVO;TER;102
350;CASA DE FRUTAS CAMBUIENSE;CASA DE FRUTAS CAMBUI;CAMBUI;33;ATIVO;QUA;104
400;DISTRIBUIDORA DE BEBIDAS CAMBUI LTDA;DISTRIBU DE BEBIDAS CAMBUI;CAMBUI;10;ATIVO;SAB;2
405;DANIEL ODECIO CORREA;DANIEL  FUNCIONARIO;CAMBUI;10;ATIVO;SAB;2
406;SUPERMERCADO KURIHARA LTDA;SUPERMERCADO KURIHARA;EXTREMA;14;ATIVO;SEX;405
428;CARLOS ROBERTO CAMARGO;CARLOS ROBERTO CAMAR;MUNHOZ;13;ATIVO;TER;651
433;WILSON VIEIRA DOS SANTOS CPF 52548449653;LANCHONETE CANTINHO DA PRAÇA;MUNHOZ;13;ATIVO;TER;651
472;02.114.504 JOAO JOSE DA SILVA;JOAO JOSE DA SILVA;TOLEDO;13;ATIVO;QUA;851
540;VILMA SALES DE SOUZA;SORVETERIA TIA VILMA;EXTREMA;40;ATIVO;QUA;402
597;LEANDRO DE GODOI;LEANDRO FUNCIONARIO;CAMBUI;10;ATIVO;SEG;2
605;HIPER TETRA SUPERMERCADOS LTDA;TETRA SUPERMERCADOS;EXTREMA;14;ATIVO;SEX;405
623;ALENCAR PACHECO;BAR DO ALENCAR;EXTREMA;40;ATIVO;SEG;409
627;BAR E LANCHONETE DUAS BANDEIRAS LTDA;BAR E LANCH DUAS BANDEIRAS;EXTREMA;40;ATIVO;SEG;409
665;RESTAURANTE DESCANSO ITAPEVA;RESTAURANTE DO PAULI;ITAPEVA;42;ATIVO;SEG;406
675;COMERCIAL ESTRELA DA DIVINEIA LTDA;ESTRELA DA DIVINEIA;ITAPEVA;14;ATIVO;TER;403
687;CARLOS JOSE DE CARVALHO;PADARIA FLOR DA MANHA;ITAPEVA;42;ATIVO;TER;501
722;CLAUDINEI DE OLIVEIRA;CLAUDINEI FUNCIONARIO;CAMBUI;10;ATIVO;SEG;2
788;ARQUIDIOCESE DE POUSO ALEGRE;PAROQ. DE COREGO DO BOM JESUS;CORREGO DO BOM JESUS;35;ATIVO;QUI;351
824;ARIOWALDO JOSE FERREIRA;RESTAURANTE DO SASSA;CAMANDUCAIA;42;ATIVO;QUA;302
832;AUTO POSTO RIGA LTDA.;AUTO POSTO RIGA;CAMANDUCAIA;14;ATIVO;SEG;304
853;DONIZETE JOSE LOPES;DONIZETE FUNCIONARIO;CAMBUI;10;ATIVO;SAB;2
858;CAMANDUS'CAFE LTDA;CAMANDUS'CAFE;CAMANDUCAIA;42;ATIVO;QUI;301
871;COMERCIAL ANA ROSA LTDA;SUPERMERCADO DU TATO;CAMANDUCAIA;14;ATIVO;SEG;310
872;SUPERMERCADO DU NIDI LTDA;SUPERMERCADO DU NIDI;CAMANDUCAIA;42;ATIVO;QUA;302
882;DULCINEA DA SILVA KANATANI ME;DULCINEA DA SILVA KA;SENADOR AMARAL;13;ATIVO;QUI;751
922;CONGREGACAO CRISTA NO BRASIL;CONGREGACAO CRISTA NO BRASIL;CAMANDUCAIA;42;ATIVO;QUA;302
923;JOAO JUSTINO FERREIRA - CPF 41342879600;PADARIA SAO JUDAS TADEU;SENADOR AMARAL;13;ATIVO;QUI;751
926;JOAO PEREIRA DA SILVA  ME;XX;MUNHOZ;13;ATIVO;QUI;502
960;LANCHONETE RESTAURANTE E HOTEL 130 LTDA;LANCHONETE REST E HOTEL 130;CAMANDUCAIA;42;ATIVO;SEG;406
988;MERCADINHO RHITZ LTDA;MERCADINHO RITHZ;CAMANDUCAIA;42;ATIVO;QUI;301
993;CARLOS ROBERTO DA SILVA BAR;BAR DO CARLINHOS;CAMBUI;33;ATIVO;TER;102
999;NOGUEIRA SANTOS SUPERMERCADO;SUPERMERCADO NOGUEIRA;CAMANDUCAIA;35;ATIVO;SEX;308
1012;EDINEI VIEIRA DE MORAIS LTDA;PANIFICADORA MONTE VERDE;CAMANDUCAIA;42;ATIVO;QUI;301
1017;P. A. DE OLIVEIRA - BENTINHO SUPERMERCADO;BENTINHO SUPERMERCADO;CAMANDUCAIA;35;ATIVO;SEX;307
1054;SIVONE CICERA MENEZES;SIVONE CICERA MENEZES;CAMANDUCAIA;42;ATIVO;QUI;301
1142;TEREZA REZENDE DE FIGUEIREDO;PESQUEIRO SAO MIGUEL;ESTIVA;35;ATIVO;QUI;152
1175;AGUINALDO JOSE FACCIO;GUINHO COCA COLA;CAMBUI;10;ATIVO;SEG;2
1202;RESTAURANTE DO LUIZ EXTREMA LTDA;RESTAURANTE DO LUIZ;EXTREMA;42;ATIVO;SEG;407
1254;PADARIA ITAPEVA LTDA;PADARIA ITAPEVA;ITAPEVA;42;ATIVO;TER;501
1306;SUPERMERCADO CENTRAL DE TOLEDO LTDA;SUPERMERCADO CENTRAL;TOLEDO;13;ATIVO;QUA;851
1322;GILBERTO REIS DA SILVA ME;BAR SAO EXPEDITO;MUNHOZ;13;ATIVO;TER;651
1349;ELZA APARECIDA DE MORAES SANTOS;MINI MERCADO MORAES;TOLEDO;13;ATIVO;QUA;851
1354;JOSE MARIA DA SILVA;JOSE MARIA PORTEIRO;CAMBUI;10;ATIVO;SEG;2
1444;LANCHONETE RENATO'S LTDA;LANCHONETE RENATO'S;EXTREMA;40;ATIVO;TER;404
1510;JOAO BATISTA DA CUNHA  ME;JOAO BATISTA DA CUNHA  ME;EXTREMA;40;ATIVO;QUI;400
1523;NELI FATIMA FELIX DA ROSA SUPERMERCADO;SUPERMERCADO CARLINHOS;CAMANDUCAIA;42;ATIVO;QUA;302
1536;ADEGA 2 IRMAOS DE EXTREMA LTDA;ADEGA DOIS IRMAOS;EXTREMA;14;ATIVO;SEX;405
1548;HELAINE CRODRIGUES PEREIRA;RESTSANTA EDWIGES;CAMBUI;42;ATIVO;SEG;406
1595;BENEDITA ALBINO LEME;DITA LANCHES;ITAPEVA;42;ATIVO;TER;501
1599;PAULO ANIZIO LUCAS;TOCO CHOCOLATE CASEIRO;CAMANDUCAIA;35;ATIVO;SEG;304
1639;SUPERMERCADO KURIHARA LTDA;SUPERMERCADO KURIHARA;EXTREMA;14;ATIVO;SEX;405
1644;CHURRASCARIA DO GORDO LTDA EPP;CHURRASCARIA DO GORDO;EXTREMA;42;ATIVO;SEG;407
1723;MARCOS ELIAS FERREIRA DA SILVA;MARCOS ELIAS FERREIRA - YAJE;CAMBUI;10;ATIVO;SEG;1
1734;SUPERMERCADO COLLINES LTDA;COLLINES;TOLEDO;13;ATIVO;QUA;851
1830;MINIMERCADO JI LTDA;MINI MERCADO E LANCHONETE JI;TOLEDO;13;ATIVO;QUA;853
1954;NICODEMO RIBEIRO ALMEIDA;BAR DO NICO;OURO FINO;45;ATIVO;QUI;704
1957;LUIS FERNANDO DA ROCHA - CPF-626 853 926-53;MINIMERCADO SAO JOSE;OURO FINO;45;ATIVO;QUI;704
