codigo;descricao
119154;ADES 200ML ABACAXI C/6UN
119155;ADES 200ML LARANJA  C/6UN
119156;ADES 200ML MACA C/6UN
119159;ADES 200ML MORANGO C/6UN
119157;ADES 200ML PESSEGO C/6 UNID
119158;ADES 200ML UVA C/6UN
119143;ADES ABACAXI 1LITRO C/6UND
119144;ADES LARANJA 1 LITRO C/6 UNID
119145;ADES MACA 1L CX 6UN
119146;ADES ORIGINAL 1LITRO C/6UND
119148;ADES PESSEGO 1L 6U
118953;ADES SEEDS AMENDOAS BAUNILHA
119149;ADES UVA 1 LITRO C/6 UNID
139421;BAVARIA LATA 350ML 12UNID
56604;BIPACK CCO+FTALAR PET2L
92721;C SPARKL. LIMAO PT510
92808;C SPARKL. MELANCIA PT510
92723;C SPARKL.FRUTAS VERMELHA PT510
92701;C SPARKL.TANGERIN CAPLIM PT510
139443;CACHACA YPIOCA EMP OURO VD 965
139338;CAMPARI GAR VD 748ML
56353;CC 250ML VIDRO OW C12U
55202;CC BAG 10L
56476;CC MENOS ACUCAR PET 3L 6U FL
55993;CC PET 1 LITRO CX C/06
6060;CC PET 1.500ML C6
56756;CC SEM ACUCAR RETORNAVEL 2L RT
56016;CC ZERO 290ML KS ULTRA CX24
55720;CC ZERO BAG 5L
3212;CC ZERO PET 1,5L
56602;CC+FTA GUA PET2L 2X2
56606;CC+SPRITE PET2L (4) LM
903401;CERV KAISER 600ML RETORNAVEL
903394;CERV.KAISER LATA 350ML C/12UN
119471;CHA 450M LEAO BRANCO LICHIA ZR
119123;CHA 450ML GUARANA POWER ACAI
118614;CHA 450ML ICE TEA LIMAO
118620;CHA 450ML ICE TEA PESSEGO
119464;CHA 450ML LEAO VERDE LIMAO ZER
118634;CHA 450ML MATTE LEAO LIMAO
118637;CHA 450ML MATTE LEAO NATURAL
141094;CHEEZ IT SNACK CHEDDAR CX 65G
120121;CO2 GAS-DIOXIDO DE CARBONO 9KG
55957;COCA COLA KS ULTRA 290ML
56051;COCA COLA LATA 310ML MAINLINE
8533;COCA COLA LATA 350ML C/12
56840;COCA COLA LS 1 LITRO ROTULADA
56600;COCA COLA ORIGINAL PET 2L 8U F
55935;COCA COLA PET 600ML
56754;COCA COLA RETORNAVEL PET 2L RT
9334;COCA COLA ZERO LATA 350ML C12
55818;COCA COLA ZERO PET 2L
55934;COCA COLA ZERO PET 600ML
7322;CRYSTAL PET 1,5L COM GAS
7323;CRYSTAL PET 1,5L SEM / G
92650;CRYSTAL PET 1L
7325;CRYSTAL PET 500ML COM GAS
7331;CRYSTAL PET 500ML SEM/G
8590;CRYSTAL PET 5L
9770;CRYSTAL VIP COM GAS 350ML 12UN
9714;CRYSTAL VIP SEM /G 350ML
139560;CYNAR GARRAFA VD 900ML UN
8812;DEL VALLE 100% UVA 1L 06UN
139675;DREHER GAR VD 900ML 1UN
118828;DV 100% MACA 1 LITRO C6
119167;DV ABACAXI 1L (6U) CP
119530;DV FRESH LIMAO PET 1,5L 6P CP
119135;DV FRUT FRUTAS CITRICAS 450ML
118795;DV FRUT LARANJA PET 1L 6P CP
118955;DV FRUT LARANJA PET 450ML (6)
118783;DV FRUT UVA PET 1L 6P CP
